layer,transform,alpha,head,perturb_scale,rel_delta_fro,rel_delta_2
layer_1,raw,,0,0.0001,0.00011282606477503299,9.289908319933146e-05
layer_1,raw,,0,0.001,0.0011130524558902093,0.0009749072314000086
layer_1,raw,,0,0.01,0.009825046789812027,0.009135930967064608
layer_1,raw,,1,0.0001,6.551182895093749e-05,4.701607912995166e-05
layer_1,raw,,1,0.001,0.0006678408403184727,0.0004878921637168758
layer_1,raw,,1,0.01,0.007095988657331735,0.00615533411549244
layer_1,raw,,2,0.0001,6.197378864609404e-05,4.8143813157622186e-05
layer_1,raw,,2,0.001,0.0006071833043424378,0.0005401362311089498
layer_1,raw,,2,0.01,0.005813467073927165,0.004142899326463193
layer_1,raw,,3,0.0001,6.445356279098279e-05,4.7002192963197716e-05
layer_1,raw,,3,0.001,0.0006420948724433928,0.0004925135125185539
layer_1,raw,,3,0.01,0.005617079269977351,0.004054292912336748
layer_1,raw,,4,0.0001,7.122135464208427e-05,5.205802288923082e-05
layer_1,raw,,4,0.001,0.000666317498642976,0.000544467527264813
layer_1,raw,,4,0.01,0.007085035577907354,0.005839311109744838
layer_1,raw,,5,0.0001,7.692437339411246e-05,5.1451924065695984e-05
layer_1,raw,,5,0.001,0.0006749407889876904,0.0005020044735340066
layer_1,raw,,5,0.01,0.006669676962980264,0.004188724721939992
layer_1,raw,,6,0.0001,7.057475059194943e-05,5.621102644994743e-05
layer_1,raw,,6,0.001,0.0007101296714229362,0.0005883581356257712
layer_1,raw,,6,0.01,0.007725469497554103,0.005945945188172772
layer_1,raw,,7,0.0001,6.774966637436596e-05,5.006970775400676e-05
layer_1,raw,,7,0.001,0.0007116749269814772,0.00063856048129932
layer_1,raw,,7,0.01,0.006760096211747902,0.005646575298419439
layer_1,raw,,8,0.0001,6.044847183662443e-05,4.316715136667993e-05
layer_1,raw,,8,0.001,0.0005622453724026097,0.00044077399161642573
layer_1,raw,,8,0.01,0.0063529653253845105,0.004791247539923422
layer_1,raw,,9,0.0001,7.766829021388469e-05,6.566765664394872e-05
layer_1,raw,,9,0.001,0.0008788597239866313,0.0007471398262656824
layer_1,raw,,9,0.01,0.008539297166211313,0.007452903010855961
layer_1,raw,,10,0.0001,6.588859239951538e-05,5.2758778536386636e-05
layer_1,raw,,10,0.001,0.000688220070799742,0.0005807185825858475
layer_1,raw,,10,0.01,0.006591846949795816,0.004832794578878472
layer_1,raw,,11,0.0001,9.372935678304053e-05,6.64009243396808e-05
layer_1,raw,,11,0.001,0.0007937511514907601,0.000552638065240969
layer_1,raw,,11,0.01,0.008028525879155248,0.004530190937998735
layer_1,raw,,0,0.0001,8.999675675646074e-05,5.803106431208155e-05
layer_1,raw,,0,0.001,0.0008571406495741754,0.0006363729236722047
layer_1,raw,,0,0.01,0.008716110911536254,0.005443426516934466
layer_1,raw,,1,0.0001,6.983619899177512e-05,5.105237495207159e-05
layer_1,raw,,1,0.001,0.000619887688160425,0.00040880352376706266
layer_1,raw,,1,0.01,0.006586805378455718,0.004203310123064119
layer_1,raw,,2,0.0001,7.716973089768486e-05,5.557176880700628e-05
layer_1,raw,,2,0.001,0.0008282863385899969,0.0006115999303813203
layer_1,raw,,2,0.01,0.008005230616408015,0.005723499494197464
layer_1,raw,,3,0.0001,6.539551936886398e-05,4.760840816249654e-05
layer_1,raw,,3,0.001,0.0006485162250342572,0.0004510253595935025
layer_1,raw,,3,0.01,0.00616901168612318,0.00435153598428649
layer_1,raw,,4,0.0001,8.742886238600687e-05,6.739946878048989e-05
layer_1,raw,,4,0.001,0.0008832253936732382,0.0007431873155873305
layer_1,raw,,4,0.01,0.008043088847099521,0.007088019860337954
layer_1,raw,,5,0.0001,8.97428205607167e-05,6.372712813575906e-05
layer_1,raw,,5,0.001,0.0009915970166383462,0.0007518994236555748
layer_1,raw,,5,0.01,0.008262619481441504,0.00545357204918526
layer_1,raw,,6,0.0001,7.099235672817132e-05,5.070835915589958e-05
layer_1,raw,,6,0.001,0.0007765676963007953,0.00048367918307066674
layer_1,raw,,6,0.01,0.007591319945109135,0.005682243680166942
layer_1,raw,,7,0.0001,8.904702149532249e-05,6.720137859554197e-05
layer_1,raw,,7,0.001,0.0008033474082798036,0.0005988174614241906
layer_1,raw,,7,0.01,0.006933552844957092,0.005032435439370151
layer_1,raw,,8,0.0001,5.938852712179903e-05,3.757495690416085e-05
layer_1,raw,,8,0.001,0.000546639808589884,0.00036328160023811227
layer_1,raw,,8,0.01,0.0058679855636516775,0.0035936044073467508
layer_1,raw,,9,0.0001,8.853528063973059e-05,6.444104011631826e-05
layer_1,raw,,9,0.001,0.0009150487604579085,0.00075216182969338
layer_1,raw,,9,0.01,0.00856254604685291,0.0059596806122922215
layer_1,raw,,10,0.0001,7.920773084862878e-05,6.345238954289042e-05
layer_1,raw,,10,0.001,0.0007424017526505409,0.0005620994782408819
layer_1,raw,,10,0.01,0.008463421593300135,0.007099686167948504
layer_1,raw,,11,0.0001,9.898209252441411e-05,6.386575199266115e-05
layer_1,raw,,11,0.001,0.0009241610072626987,0.000636943531989947
layer_1,raw,,11,0.01,0.009777679956823984,0.00736085796970607
layer_1,raw,,0,0.0001,8.744953254201459e-05,5.127379188527242e-05
layer_1,raw,,0,0.001,0.0008632102852005496,0.0005172756701235473
