layer,transform,alpha,diag_min,diag_max,diag_mean,diag_std,trace
embed,raw,,110.29954528808594,406.5104675292969,296.3470153808594,71.58042907714844,151729.671875
embed,ln,,767.946044921875,767.985595703125,767.9783935546875,0.007306291721761227,393204.9375
embed,dyt,0.25,3.4896240234375,23.92989730834961,17.02727508544922,5.006599426269531,8717.96484375
embed,dyt,0.5,9.396244049072266,82.33103942871094,59.67135238647461,17.42313003540039,30551.732421875
embed,dyt,1.0,26.36136245727539,220.3801727294922,171.03599548339844,42.208778381347656,87570.4296875
layer_1,raw,,123.22565460205078,416.68896484375,294.11614990234375,70.94487762451172,150587.46875
layer_1,ln,,767.9517822265625,767.985595703125,767.978271484375,0.006853913422673941,393204.875
layer_1,dyt,0.25,3.083893060684204,24.146663665771484,15.850908279418945,5.178264617919922,8115.6650390625
layer_1,dyt,0.5,8.969637870788574,81.10623168945312,54.48310852050781,17.75043296813965,27895.3515625
layer_1,dyt,1.0,29.18913459777832,212.551513671875,156.14781188964844,43.8350830078125,79947.6796875
layer_2,raw,,212.19461059570312,468.9849548339844,323.6474914550781,46.21299362182617,165707.515625
layer_2,ln,,767.971923828125,767.9871215820312,767.9813232421875,0.0029949042946100235,393206.4375
layer_2,dyt,0.25,1.4679348468780518,26.544368743896484,16.23160171508789,4.004905700683594,8310.580078125
layer_2,dyt,0.5,2.557868719100952,87.47745513916016,55.44567108154297,13.594024658203125,28388.18359375
layer_2,dyt,1.0,5.65092658996582,224.7389373779297,158.5077362060547,34.691246032714844,81155.9609375
layer_3,raw,,184.22491455078125,464.9451904296875,366.23974609375,37.87258529663086,187514.75
layer_3,ln,,767.9676513671875,767.9873046875,767.9835205078125,0.0027394481003284454,393207.5625
layer_3,dyt,0.25,1.1098520755767822,25.277334213256836,15.85833740234375,3.451596736907959,8119.46875
layer_3,dyt,0.5,1.457303762435913,82.78904724121094,53.627220153808594,11.861698150634766,27457.13671875
layer_3,dyt,1.0,2.8176138401031494,218.67098999023438,153.1912841796875,31.265165328979492,78433.9375
layer_4,raw,,75.76839447021484,507.0288391113281,410.7237548828125,63.543766021728516,210290.5625
layer_4,ln,,767.9216918945312,767.988525390625,767.984130859375,0.010109947063028812,393207.875
layer_4,dyt,0.25,1.1898059844970703,21.704381942749023,15.678754806518555,3.2052433490753174,8027.5224609375
layer_4,dyt,0.5,1.886291265487671,72.5533447265625,52.32814025878906,11.171137809753418,26792.0078125
layer_4,dyt,1.0,3.808318853378296,197.75253295898438,150.33740234375,30.27113914489746,76972.75
layer_5,raw,,10.617766380310059,704.324951171875,430.57952880859375,139.91172790527344,220456.71875
layer_5,ln,,767.438232421875,767.9915771484375,767.96240234375,0.09708312898874283,393196.75
layer_5,dyt,0.25,0.6024187803268433,23.437660217285156,14.194780349731445,4.407975673675537,7267.7275390625
layer_5,dyt,0.5,1.9495036602020264,78.05422973632812,48.06425476074219,15.03786849975586,24608.8984375
layer_5,dyt,1.0,5.193081855773926,207.6392364501953,139.53298950195312,41.73497772216797,71440.890625
layer_6,raw,,57.818199157714844,271.10833740234375,143.6446075439453,41.42660903930664,73546.0390625
layer_6,ln,,767.8978881835938,767.978271484375,767.9559936523438,0.0108660152181983,393193.46875
layer_6,dyt,0.25,2.6192171573638916,15.611917495727539,7.942935943603516,1.9529699087142944,4066.783203125
layer_6,dyt,0.5,8.339728355407715,53.75462341308594,28.317720413208008,7.070763111114502,14498.6728515625
layer_6,dyt,1.0,28.76335906982422,156.91458129882812,91.43620300292969,20.55925750732422,46815.3359375
