layer,matrix_type,transform,alpha,k,rel_fro_error
embed,X,raw,,1,0.9493106897016116
embed,X,raw,,2,0.9277333476259675
embed,X,raw,,4,0.8951894469945464
embed,X,raw,,8,0.8534467928848259
embed,X,raw,,16,0.7848898404251458
embed,X,raw,,32,0.6727210545574404
embed,X,raw,,64,0.49889437886107413
embed,X,raw,,128,0.24518943668903517
embed,G,raw,,1,0.7119139835825969
embed,G,raw,,2,0.6511219402089178
embed,G,raw,,4,0.5786899307314994
embed,G,raw,,8,0.5170084364236213
embed,G,raw,,16,0.43251253957816144
embed,G,raw,,32,0.31868349562854764
embed,G,raw,,64,0.18451389189836212
embed,G,raw,,128,0.05763426107313396
embed,X,ln,,1,0.9233608490342509
embed,X,ln,,2,0.8941636386818075
embed,X,ln,,4,0.8534098347140812
embed,X,ln,,8,0.8042614053471288
embed,X,ln,,16,0.7364332047497305
embed,X,ln,,32,0.6294749554696424
embed,X,ln,,64,0.46732439505561274
embed,X,ln,,128,0.23192020759059068
embed,G,ln,,1,0.5861127790514339
embed,G,ln,,2,0.5083762855130503
embed,G,ln,,4,0.425837069670415
embed,G,ln,,8,0.35892450311243934
embed,G,ln,,16,0.2953991785835486
embed,G,ln,,32,0.21518496806012918
embed,G,ln,,64,0.12458491966073827
embed,G,ln,,128,0.039592303359459506
embed,X,dyt,0.25,1,0.9673259784817527
embed,X,dyt,0.25,2,0.9455605680555729
embed,X,dyt,0.25,4,0.9127004868884854
embed,X,dyt,0.25,8,0.8699839183392394
embed,X,dyt,0.25,16,0.8002022067920032
embed,X,dyt,0.25,32,0.6870202673935409
embed,X,dyt,0.25,64,0.5096724724003476
embed,X,dyt,0.25,128,0.25073943971375035
embed,G,dyt,0.25,1,0.8498440395208875
embed,G,dyt,0.25,2,0.7782714411962689
embed,G,dyt,0.25,4,0.6930729189250727
embed,G,dyt,0.25,8,0.6183696973067943
embed,G,dyt,0.25,16,0.5171673459568115
embed,G,dyt,0.25,32,0.3832408361224786
embed,G,dyt,0.25,64,0.2220395536939232
embed,G,dyt,0.25,128,0.06948119803690497
embed,X,dyt,0.5,1,0.970097408348795
embed,X,dyt,0.5,2,0.9485912717848555
embed,X,dyt,0.5,4,0.9151815409459545
embed,X,dyt,0.5,8,0.8720234937833864
embed,X,dyt,0.5,16,0.8017564688323056
embed,X,dyt,0.5,32,0.6883363151938934
embed,X,dyt,0.5,64,0.5115726461664232
embed,X,dyt,0.5,128,0.252518003002245
embed,G,dyt,0.5,1,0.8707447391618006
embed,G,dyt,0.5,2,0.799727423137408
embed,G,dyt,0.5,4,0.7102386632386467
embed,G,dyt,0.5,8,0.63242313768631
embed,G,dyt,0.5,16,0.5278816233448773
embed,G,dyt,0.5,32,0.39053758742505157
embed,G,dyt,0.5,64,0.22732826878308313
embed,G,dyt,0.5,128,0.07152013256215853
embed,X,dyt,1.0,1,0.9670479798256859
