layer,matrix_type,transform,alpha,n_rows,n_cols,sigma1,numerical_rank,kappa_eff,stable_rank,effective_rank,fro_norm
embed,X,raw,,512.0,768.0,121.43645124989793,198.0,717.0543024716329,10.120513616949601,166.21884186914093,386.3228035428226
embed,G,raw,,512.0,512.0,14746.81174256642,198.0,513087.06386831,2.0276634942413745,101.3461230506921,20998.877363740514
embed,X,ln,,512.0,768.0,240.74922599829267,198.0,967.0041033224342,6.784042244763265,162.32334175277833,627.0601057674462
embed,G,ln,,512.0,512.0,57960.18897879884,198.0,929718.1470968488,1.5232946554790738,81.50352530347728,71535.52223260928
embed,X,dyt,0.25,512.0,768.0,23.355929432003407,279.0,3476.1792365368688,15.556829159271249,169.83388548942423,92.120798893868
embed,G,dyt,0.25,512.0,512.0,545.4994358821999,244.0,960749.6921990763,3.6001642014481052,110.26678344813632,1035.0360118068254
embed,X,dyt,0.5,512.0,768.0,41.72703067558411,279.0,853.3499701728518,16.974753256747007,174.09534649677778,171.9171552521479
embed,G,dyt,0.5,512.0,512.0,1741.1451485048067,279.0,733213.3499494279,4.135587738219326,111.57933605325728,3540.817936530791
embed,X,dyt,1.0,512.0,768.0,73.80195940564147,279.0,255.25354027156826,15.427764536151374,181.91343209930503,289.88076130823254
embed,G,dyt,1.0,512.0,512.0,5446.728615000311,279.0,65120.07788059549,3.631323949457635,109.75890784987278,10379.304040794266
layer_1,X,raw,,512.0,768.0,185.0557197239147,348.0,2063.5558624376513,4.104832887260689,201.82535347755424,374.9300531674446
layer_1,G,raw,,512.0,512.0,34245.61938932191,339.0,945413.0997361941,1.1618125313668686,60.344987765963054,36912.4654779026
layer_1,X,ln,,512.0,768.0,329.91847919332145,348.0,1607.0256965440847,3.6124700969193793,200.6736392620312,627.0595292213309
layer_1,G,ln,,512.0,512.0,108846.20289794407,343.0,903784.9961209074,1.1553735665788025,49.02550281503478,116996.93831903132
